Unnamed: 0,latitude,longitude,address
98,25.0584925,121.3678447,桃園市龜山區復興北路6巷45號
99,24.9607192,121.2956026,桃園市八德區四維路55號
100,24.98311,121.5379809,新北市新店區民權路78號6樓(貨都送5樓)
101,25.0546388,121.5926731,臺北市南港區南港路三段16巷2之1號
102,25.0711953,121.6353906,新北市汐止區明峰街7號1樓
103,24.9819315,121.5421262,新北市新店區寶安街22號
104,24.9484008,121.4994723,新北市新店區僑信路78號1樓(台北小城裡)
105,24.9912348,121.5403322,臺北市文山區車前路31號
106,25.021664,121.5421349,臺北市大安區辛亥路二段201號
107,25.0499703,121.5575603,臺北市松山區光復北路66號6樓
108,25.1696096,121.4450906,新北市淡水區英專路21巷11號1樓
109,25.0489403,121.5360416,臺北市中山區長安東路二段129巷7號
110,25.1296949,121.7484761,基隆市信義區義四路14號1樓
111,25.0695111,121.366465,新北市林口區文化二路一段88號1樓
112,25.0238348,121.528818,臺北市大安區師大路59巷4號1樓
113,25.063744,121.49929,新北市三重區文化北路12號
114,24.9921273,121.3089796,桃園市桃園區民族路121號
115,25.0838404,121.5927917,臺北市內湖區內湖路二段462號之1
116,25.0650562,121.6306481,新北市汐止區福德二路173號
117,25.0481118,121.2915412,桃園市蘆竹區中正路317號
118,25.0459993,121.5170414,臺北市中正區忠孝西路一段36號1樓
119,24.9422522,121.3731332,新北市三峽區國學街36號
120,25.1257625,121.4718434,臺北市北投區立德路70號
121,24.9817207,121.5065239,新北市中和區華新街133號
122,25.1147346,121.63328,新北市汐止區汐萬路三段308-1號1樓(柯子林餐廳停車場)
123,25.15044,121.7755731,基隆市中正區北寧路2號(第二餐廳地下室 永泉商場)
124,24.9619877,121.2245991,桃園市中壢區元化路290號1樓
125,25.0577396,121.3671687,桃園市龜山區復興一路212巷25號
126,25.0817231,121.4719451,新北市蘆洲區中山二路124號
127,25.043796,121.453859,新北市新莊區復興路二段8號
128,25.0240634,121.4233823,新北市新莊區四維路122號1樓
129,24.9530135,121.5515431,新北市新店區北宜路2段66號
130,24.993633,121.5221088,新北市中和區自立路18號1F
131,24.9972312,121.4855942,新北市中和區中正路722號1樓
132,25.1422351,121.7639065,基隆市中正區祥豐街95-2號
133,24.9424034,121.3917938,新北市三峽區三樹路222巷228弄11號(倉庫)
134,25.030449,121.4758089,新北市板橋區松柏街59號
135,24.9974751,121.4637702,新北市板橋區重慶路308巷22號1樓
136,25.0588772,121.5891065,臺北市內湖區新明路163號
137,25.0269556,121.563012,臺北市信義區吳興街252號(卸貨區在後門284巷口)
138,25.02863,121.561068,臺北市信義區吳興街156巷25弄1號
